Members,Political Affiliation,Political Bloc,members_chi,Bloc_chi
Abraham SHEK,PF,E,石禮謙,親建制派
Alan LEONG,CP,D,梁家傑,泛民主派
Albert CHAN,PP,D,陳偉業,泛民主派
Albert HO,DP,D,何俊仁,泛民主派
Alice MAK,FTU,E,麥美娟,親建制派
Andrew LEUNG,ES,E,梁君彥,親建制派
CHAN Chi-chuen,PP,D,陳志全,泛民主派
CHAN Hak-kan,DAB,E,陳克勤,親建制派
CHAN Han-pan,DAB,E,陳恒鑌,親建制派
CHAN Kam-lam,DAB,E,陳鑑林,親建制派
CHAN Kin-por,IND,E,陳健波,親建制派
CHAN Yuen-han,FTU,E,陳婉嫻,親建制派
CHEUNG Kwok-che,LAB,D,張國柱,泛民主派
CHUNG Kwok-pan,LIB,E,鍾國斌,親建制派
Charles Peter MOK,PC,D,莫乃光,泛民主派
Christopher CHEUNG,BPA,E,張華峰,親建制派
Christopher CHUNG,DAB,E,鍾樹根,親建制派
Claudia MO,CP,D,毛孟靜,泛民主派
Cyd HO,LAB,D,何秀蘭,泛民主派
Dennis KWOK,CP,D,郭榮鏗,泛民主派
Dr CHIANG Lai-wan,DAB,E,蔣麗芸,親建制派
Dr Elizabeth QUAT,DAB,E,葛珮帆,親建制派
Dr Fernando CHEUNG,LAB,D,張超雄,泛民主派
Dr Helena WONG,DP,D,黃碧雲,泛民主派
Dr KWOK Ka-ki,CP,D,郭家麒,泛民主派
Dr Kenneth CHAN,CP,D,陳家洛,泛民主派
Dr LAM Tai-fai,IND,E,林大輝,親建制派
Dr LAU Wong-fat,ES,E,劉皇發,親建制派
Dr LEUNG Ka-lau,IND,D,梁家騮,泛民主派
Dr Priscilla LEUNG,PF,E,梁美芬,親建制派
Emily LAU,DP,D,劉慧卿,泛民主派
Frankie YICK,LIB,E,易志明,親建制派
Frederick FUNG,ADPL,D,馮檢基,泛民主派
Gary FAN,ND,D,范國威,泛民主派
IP Kin-yuen,PTU,D,葉建源,泛民主派
IP Kwok-him,DAB,E,葉國謙,親建制派
Ir Dr LO Wai-kwok,BPA,E,盧偉國,親建制派
James TIEN,LIB,E,田北俊,親建制派
James TO,DP,D,涂謹申,泛民主派
Jeffrey LAM,ES,E,林健鋒,親建制派
KWOK Wai-keung,FTU,E,郭偉強,親建制派
Kenneth LEUNG,PC,D,梁繼昌,泛民主派
LEE Cheuk-yan,LAB,D,李卓人,泛民主派
LEUNG Che-cheung,DAB,E,梁志祥,親建制派
LEUNG Kwok-hung,LSD,D,梁國雄,泛民主派
LEUNG Yiu-chung,NWSC,D,梁耀忠,泛民主派
MA Fung-kwok,NF,E,馬逢國,親建制派
Martin LIAO,IND,E,廖長江,親建制派
Michael TIEN,NPP,E,田北辰,親建制派
Mrs Regina IP,NPP,E,葉劉淑儀,親建制派
NG Leung-sing,IND,E,吳亮星,親建制派
POON Siu-ping,FLU,E,潘兆平,親建制派
Paul TSE,IND,E,謝偉俊,親建制派
Prof Joseph LEE,IND,D,李國麟,泛民主派
Ronny TONG,CP,D,湯家驊,泛民主派
SIN Chung-kai,DP,D,單仲偕,泛民主派
Starry LEE,DAB,E,李慧琼,親建制派
Steven HO,DAB,E,何俊賢,親建制派
TAM Yiu-chung,DAB,E,譚耀宗,親建制派
TANG Ka-piu,FTU,E,鄧家彪,親建制派
TSANG Yok-sing,DAB,E,曾鈺成,親建制派
Tommy CHEUNG,LIB,E,張宇人,親建制派
Tony TSE,IND,E,謝偉銓,親建制派
Vincent FANG,LIB,E,方剛,親建制派
WONG Kwok-hing,FTU,E,王國興,親建制派
WONG Kwok-kin,FTU,E,黃國健,親建制派
WONG Ting-kwong,DAB,E,黃定光,親建制派
WONG Yuk-man,IND,D,黃毓民,泛民主派
WU Chi-wai,DP,D,胡志偉,泛民主派
YIU Si-wing,IND,E,姚思榮,親建制派